Country,Attribute,Mean Years of Schooling (years),Expected years of schooling (years),"Literacy rate, adult (% ages 15 and older)",Mean Employment Tenure,Main Method of Skill acquisition,Confidence in labor unions,Union Type,Main source of Funding,Fund Allocation Criteria,IFDI (% of GDP),Interfirm Relations,Internal Decision Making Structure,Extent of Delegation,Main Criteria for pay raise & promotion ,Main ownership of large firms,main controlling owner,Investor Protection,rule of law,Type,state decision making,Voice andAccountability,Governmenteffectiveness,RegulatoryQuality,PowerDistance,UncertaintyAvoidance,Individualism,Motivation towards achievement and success,LongtermOrientation,Corruptionperceptionindex,InterpersonalTrust,Socialnetworks
CHN,3,7.678067,13.67105884,94.96186,all,private,2.7235076,party-controlled unions,Banks,relationship-state-guidance,2.253857706,4,top-down,1,relationship,family- state,family- state,53,-0.317065159,Developmental and predatory,bottom-up and top-down,0.04763049,-0.081912403,0.335553271,80,30,43,66,77,39,55,64
CHN,4,7.853333,14.02440218,98.84089,all,private,2.7494328,party-controlled unions,Banks,relationship-state-guidance,1.532310246,4,top-down,1,relationship,family- state,family- state,63.33333333,-0.44511576,Developmental and predatory,bottom-up and top-down,0.152123488,0.00229686,0.221542805,80,30,43,66,77,42,64,70
COL,1,6.573718121,11.72439917,92.84866,short,private,1.9509701,suppressed industrial unions,Banks,relationship-state-guidance,3.119157095,2,top-down,1,relationship,family- state,family- state,63.33333,-0.053468325,Regulatory,top-down,-0.848215928,-0.290092225,-0.384462471,67,80,29,64,6,38,35,76
COL,2,7.242478244,13.40806,93.47643,short,private,1.8754172,suppressed industrial unions,Banks,relationship-state-guidance,3.81844037,2,top-down,1,relationship,family- state,family- state,68.88888667,-0.275749813,Regulatory,top-down,-1.105090042,-0.401265875,-0.246119733,67,80,29,64,6,37,37,75
COL,3,8.026027017,14.16874167,94.36171667,short,private,1.7998643,suppressed industrial unions,Banks,relationship-state-guidance,4.299184027,2,top-down,1,relationship,family- state,family- state,80,-0.54467912,Regulatory,top-down,-1.20034786,-0.617873276,-0.758518905,67,80,29,64,6,37,36,76
COL,4,8.565103633,14.40261667,95.09251,short,private,1.8927631,suppressed industrial unions,Banks,relationship-state-guidance,3.676660799,2,top-down,1,relationship,family- state,family- state,80,-0.294125296,Regulatory,top-down,-1.471483737,-0.40047662,-0.640852928,67,80,29,64,6,38,32,76
CZE,1,11.2644767,14.52951,99.7,long,private,2.1906141,industrial unions with some admixtures of craft unions,Banks,relationship-market,7.352307222,1,top-down,2,performance,family- state,family- state,50,0.716569543,Regulatory,top-down,0.940382163,0.70276921,0.929627518,57,74,70,57,51,40,32,52
CZE,2,12.28436417,15.61374667,99.7,long,private,2.0830305,industrial unions with some admixtures of craft unions,Banks,relationship-market,4.130043837,1,top-down,2,performance,family- state,family- state,50,0.794394434,Regulatory,top-down,0.899511079,0.659790864,1.081016113,57,74,70,57,51,48,37,44
CZE,3,12.62912803,16.66059167,99.8,long,private,2.0143259,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.904491111,1,top-down,2,performance,family- state,family- state,58.55,0.496093854,Regulatory,top-down,0.546120212,0.525846243,0.698248357,57,74,70,57,51,53,34,51
CZE,4,12.77756967,16.59007333,99.8,long,private,2.4744859,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.852323347,1,top-down,2,performance,family- state,family- state,62,0.479747832,Regulatory,top-down,0.387899749,0.53033644,0.488377713,57,74,70,57,51,56,25,60
EGY,1,5.18,11.29479683,71.37363,short,OJT,2.8161175,suppressed industrial unions,Banks,relationship-state-guidance,1.735027364,2,top-down,1,relationship,family- state,family- state,33.33333,0.138952846,Developmental ,top-down,0.342912505,-0.117518493,-0.484244183,80,55,13,55,22,34,44,62
EGY,2,6.255333333,11.89639567,72.04785,short,OJT,2.289361,suppressed industrial unions,Banks,relationship-state-guidance,5.052690142,2,top-down,1,relationship,family- state,family- state,35,0.004290123,Developmental ,top-down,0.442581982,0.003680991,-0.327196243,80,55,13,55,22,30,50,56
EGY,3,7.034,12.83614792,73.36485667,short,OJT,1.907915,suppressed industrial unions,Banks,relationship-state-guidance,1.914864154,2,top-down,1,relationship,family- state,family- state,43.00000167,-0.045028046,Developmental ,top-down,0.410413305,0.010963754,-0.052508293,80,55,13,55,22,34,40,61
EGY,4,8.12,13.41718,72.26211222,short,OJT,1.6058496,suppressed industrial unions,Banks,relationship-state-guidance,2.209943827,2,top-down,1,relationship,family- state,family- state,61.33333333,-0.029479801,Developmental ,top-down,0.134077502,0.281768367,0.184657272,80,55,13,55,22,33,41,69
GRC,1,9.189363699,14.83511667,93.04431,long,private,1.80023,industrial unions with some admixtures of craft unions,Banks,relationship-market,0.313707202,,top-down,2,performance-seniority ,family- state,family- state,30,-0.630152464,Regulatory,top-down,-0.17186457,-0.384045025,-0.484244183,60,100,59,57,51,43,26,64
GRC,2,10.1046935,16.10492167,97.36874,long,private,1.9000405,industrial unions with some admixtures of craft unions,Banks,relationship-market,0.933856022,,top-down,2,performance-seniority ,family- state,family- state,31.666665,-0.637327622,Regulatory,top-down,-0.001788525,-0.303209081,-0.327196243,60,100,59,57,51,41,27,62
GRC,3,10.45682528,17.07463833,96.11633333,long,private,1.8524923,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.138602623,,top-down,2,performance-seniority ,family- state,family- state,54.22222167,-0.378350352,Regulatory,top-down,0.139457505,-0.094341877,-0.052508293,60,100,59,57,51,43,30,66
GRC,4,10.83054966,18.41488,97.93595,long,private,1.8762664,industrial unions with some admixtures of craft unions,Banks,relationship-market,2.418053928,,top-down,2,performance-seniority ,family- state,family- state,66,-0.28790924,Regulatory,top-down,0.13038709,0.310121685,0.184657272,60,100,59,57,51,49,20,65
HUN,1,10.43895015,14.85039833,88.96,long,private,1.97683,industrial unions with some admixtures of craft unions,Banks and financial markets,relationship-market,8.712424075,1,top-down,2,performance-seniority ,family- state,family- state,43.33333,0.444238474,Regulatory,top-down,-0.343726665,0.081017905,0.274823421,46,82,71,88,45,50,34,60
HUN,2,11.65886625,15.247685,93.08,long,private,2.0086067,industrial unions with some admixtures of craft unions,Banks and financial markets,relationship-market,17.28119463,2,top-down,2,performance-seniority ,family- state,family- state,43.33333,0.540905843,Regulatory,top-down,-0.549867635,0.046964782,0.130558982,46,82,71,88,45,50,32,56
HUN,3,11.86709212,15.34008833,97.75,long,private,1.9811002,industrial unions with some admixtures of craft unions,Banks and financial markets,relationship-market,9.418079562,2,top-down,2,performance-seniority ,family- state,family- state,47.666665,0.105940951,Regulatory,top-down,-0.63654685,-0.145025762,-0.09528851,46,82,71,88,45,51,34,58
HUN,4,12.01756827,15.13612,99.1,long,private,1.9535937,industrial unions with some admixtures of craft unions,Banks and financial markets,relationship-market,27.01021097,2,top-down,2,performance-seniority ,family- state,family- state,53.33333333,0.255331859,Regulatory,top-down,-0.681086808,-0.043276236,0.173690965,46,82,71,88,45,44,36,66
IND,1,4.615,8.917037083,71.837775,all,OJT-Private,2.4663978,industrial unions with some admixtures of craft unions,Banks,relationship-state-guidance,0.848459023,4,top-down,1,relationship-seniority,family- state,family- state,56.66667,-0.344976425,Developmental and predatory,top-down,0.212292445,0.094287202,0.245631106,77,40,24,56,51,28,28,54
IND,2,5.185318333,10.52804542,69.30256,all,OJT-Private,2.6283698,industrial unions with some admixtures of craft unions,Banks,relationship-state-guidance,2.352128933,4,top-down,1,relationship-seniority,family- state,family- state,57.222225,-0.572030624,Developmental and predatory,top-down,0.144966371,0.180572248,0.269656457,77,40,24,56,51,33,28,44
IND,3,6.063087787,11.87020333,71.837775,all,OJT-Private,2.8253336,industrial unions with some admixtures of craft unions,Banks,relationship-state-guidance,1.676944293,4,top-down,1,relationship-seniority,family- state,family- state,68,-0.536285485,Developmental and predatory,top-down,-0.021758896,0.03743365,0.253233302,77,40,24,56,51,38,26,57
IND,4,6.550710929,12.07486,74.37299,all,OJT-Private,2.640033733,industrial unions with some admixtures of craft unions,Banks,relationship-state-guidance,1.726725481,4,top-down,1,relationship-seniority,family- state,family- state,80,-0.744583294,Developmental and predatory,top-down,-0.053817724,-0.299947642,-0.0999997,77,40,24,56,51,40,31,62
IDN,1,7.084962188,10.82468667,94.56917,long,private,2.3553813,company unions,Banks,relationship,-0.189811999,1,top-down,1,relationship,family,family,56.66667,0.482552856,Developmental and predatory,top-down,0.970560169,0.459130818,0.734365928,78,48,5,46,29,20,33,70
IDN,2,7.393968551,11.81682167,92.81191,long,private,2.4595187,company unions,Banks,relationship,1.668227516,3,top-down,1,relationship,family,family,57.77778,0.655112912,Developmental and predatory,top-down,0.99822858,0.53708218,0.92794621,78,48,5,46,29,27,29,62
IDN,3,7.827924741,12.98471167,95.23704,long,private,2.40745,company unions,Banks,relationship,2.08093122,1,top-down,1,relationship,family,family,61.33333333,0.647432715,Developmental and predatory,top-down,0.912232668,0.653374165,0.94266659,78,48,5,46,29,35,41,73
IDN,4,8.247610883,13.61265,95.65856,long,private,2.5464997,company unions,Banks,relationship,1.854112832,1,top-down,1,relationship,family,family,70,0.442308069,Developmental and predatory,top-down,0.616742134,0.337926313,0.853331223,78,48,5,46,29,37,28,77
KOR,1,10.97087748,15.89057,97.9,medium,OJT-Private,2.439978,company unions,Banks and financial markets,relationship-market,1.365723524,3,top-down,1,seniority,public,family,60,0.490573633,Developmental ,top-down,-0.629714805,0.468570042,0.179608423,60,85,58,39,86,45,43,39
KOR,2,11.53194284,16.71157167,98.685,medium,OJT-Private,2.2911732,company unions,Banks and financial markets,relationship-market,0.8761368,4,top-down,1,seniority,public,family,60,0.773552617,Developmental ,top-down,-1.013873846,0.766644811,0.602699781,60,85,58,39,86,53,41,37
KOR,3,12.07394638,16.66927833,99.4,medium,OJT-Private,2.377585833,company unions,Banks and financial markets,relationship-market,0.748308348,4,top-down,1,seniority,public,family,69.77777833,0.787446668,Developmental ,top-down,-1.131768813,0.841686815,0.607906237,60,85,58,39,86,55,49,38
KOR,4,12.30917641,16.48776667,98.385,medium,OJT-Private,2.4016063,company unions,Banks and financial markets,relationship-market,0.822152102,4,top-down,1,seniority,public,family,74,0.877368108,Developmental ,top-down,-1.204400808,0.946993575,0.809501559,60,85,58,39,86,60,40,41
KWT,1,6.087899858,14.10851982,93.27446,short,OJT,,no unions,Banks,market-based,-0.012941879,,top-down,1,relationship-performance,family- state,family- state,50,-0.011148546,welfare,top-down,-1.577695036,-0.3145805,0.012927609,90,80,28,40,31,49,56,70
KWT,2,6.563265073,13.578325,94.46901,short,OJT,,no unions,Banks,market-based,0.751519073,,top-down,1,relationship-performance,family- state,family- state,50,0.087040875,welfare,top-down,-1.80304728,-0.113068285,0.096793687,90,80,28,40,31,44,66,68
KWT,3,7.095953845,13.72556685,95.7050975,short,OJT,,no unions,Banks,market-based,0.563540874,,top-down,1,relationship-performance,family- state,family- state,55.555555,0.148265595,welfare,top-down,-1.784993927,0.184361733,0.00573598,90,80,28,40,31,43,60,72
KWT,4,7.283778664,14.59721333,96.05647,short,OJT,,no unions,Banks,market-based,0.013429447,,top-down,1,relationship-performance,family- state,family- state,63.33333333,0.214108315,welfare,top-down,-1.590407342,0.356085511,0.225804806,90,80,28,40,31,42,44,70
MYS,1,8.126462151,12.39741333,88.68776,short,private,2.7531677,company unions,Banks,relationship-state-guidance,2.827464055,4,top-down,1,relationship,family- state,family- state,33.33333,0.072049279,Developmental and predatory,top-down,0.69256357,0.539357746,0.703013301,100,36,27,50,47,50,24,66
MYS,2,9.318568664,12.67600667,93.11789,short,private,2.7141666,company unions,Banks,relationship-state-guidance,3.682438233,4,top-down,1,relationship,family- state,family- state,52.77778,0.064992103,Developmental and predatory,top-down,0.58333683,0.250965787,0.498742804,100,36,27,50,47,47,15,58
MYS,3,10.14626795,13.38803,94.408675,short,private,2.9050925,company unions,Banks,relationship-state-guidance,3.35711209,3,top-down,1,relationship,family- state,family- state,59.333335,-0.004035144,Developmental and predatory,top-down,0.634338081,0.139328069,0.172971418,100,36,27,50,47,50,23,66
MYS,4,10.37760931,13.55242667,94.85441,short,private,2.640244,company unions,Banks,relationship-state-guidance,3.011563915,3,top-down,1,relationship,family- state,family- state,62,-0.083938032,Developmental and predatory,top-down,0.702178791,-0.005802275,-0.061708544,100,36,27,50,47,49,34,73
MEX,1,7.09702826,12.04667833,91.082945,short,OJT-Private,2.00225075,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,2.820403283,1,top-down,1,relationship,family- state,family- state,86.66667,0.906803548,Regulatory,top-down,0.8658072,0.964278996,1.006772888,81,82,34,69,23,36,33,68
MEX,2,8.104783227,12.99478167,93.29446,short,OJT-Private,1.939859525,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,2.388739365,1,top-down,1,relationship,family- state,family- state,86.66667,0.927836816,Regulatory,top-down,0.798322161,1.138202528,1.066678633,81,82,34,69,23,33,36,66
MEX,3,8.522308799,13.77601667,94.508635,short,OJT-Private,1.8774683,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,2.773225016,1,top-down,1,relationship,family- state,family- state,86.22222333,1.108159284,Regulatory,top-down,0.941662639,1.297281682,1.29639405,81,82,34,69,23,32,33,64
MEX,4,8.855393333,14.78243,95.37991,short,OJT-Private,1.7609851,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,2.66469086,1,top-down,1,relationship,family- state,family- state,88,1.20956701,Regulatory,top-down,1.060618148,1.442714811,1.411350727,81,82,34,69,23,30,30,75
PER,1,8.334766514,13.23264333,87.90867,short,OJT-Private,2.103569,suppressed industrial unions,Banks,relationship-state-guidance,2.626327035,,top-down,1,relationship,family- state,family- state,56.66667,0.143640871,Regulatory,top-down,-0.004972489,0.300593227,0.349067882,64,87,20,42,5,38,29,69
PER,2,8.412154267,13.40059278,92.108,short,OJT-Private,1.7972704,suppressed industrial unions,Banks,relationship-state-guidance,5.092363282,,top-down,1,relationship,family- state,family- state,59.444445,-0.198829636,Regulatory,top-down,-0.461698686,0.16040177,0.101606249,64,87,20,42,5,35,28,65
PER,3,9.144959032,14.54701753,94.00706,short,OJT-Private,1.7923129,suppressed industrial unions,Banks,relationship-state-guidance,4.194540339,,top-down,1,relationship,family- state,family- state,65.88888833,-0.094332777,Regulatory,top-down,-0.893385108,0.232830127,0.086301599,64,87,20,42,5,37,30,67
PER,4,9.76422,14.98653667,94.40827,short,OJT-Private,1.724932,suppressed industrial unions,Banks,relationship-state-guidance,2.580533936,,top-down,1,relationship,family- state,family- state,68,0.090122188,Regulatory,top-down,-0.767484501,0.203033876,0.072567537,64,87,20,42,5,36,27,74
PHL,1,8.113860612,11.50821833,92.60006,short,OJT-Private,2.5936825,company unions,Banks,relationship,1.262658855,1,top-down,1,relationship,family,family,43.33333,0.046177377,predatory,top-down,-0.074626039,0.048922184,0.168381255,94,44,17,64,46,26,26,80
PHL,2,8.935524817,11.61173958,94.9451675,short,OJT-Private,2.5430455,company unions,Banks,relationship,1.212306863,1,top-down,1,relationship,family,family,43.33333,0.010796102,predatory,top-down,-0.096456297,0.336363584,0.340732416,94,44,17,64,46,25,29,77
PHL,3,9.237825687,12.62825847,97.290275,short,OJT-Private,2.4924085,company unions,Banks,relationship,2.005751257,2,top-down,1,relationship,family,family,41.666665,-0.227254427,predatory,top-down,-0.519411897,0.155297778,0.237096021,94,44,17,64,46,35,25,81
PHL,4,9.262060932,12.99027111,94.9451675,short,OJT-Private,2.7687836,company unions,Banks,relationship,2.4743555,2,top-down,1,relationship,family,family,48,-0.41468747,predatory,top-down,-0.870278239,-0.124141912,-0.09762889,94,44,17,64,46,34,24,81
POL,1,11.36146974,15.04905833,99.4,long,OJT-Private,2.1330926,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.659574433,3,top-down,2,performance,family- state,family- state,56.66667,0.466986644,regulatory and developmental ,top-down,-0.765049827,0.727044451,0.679315651,68,93,47,64,49,37,32,68
POL,2,12.02428713,15.098195,99.8,long,OJT-Private,2.1454022,industrial unions with some admixtures of craft unions,Banks,relationship-market,4.229234906,3,top-down,2,performance,family- state,family- state,59.444445,0.406930948,regulatory and developmental ,top-down,-0.909707199,1.000492702,0.509096955,68,93,47,64,49,47,32,68
POL,3,12.11809392,16.09498,99.8,long,OJT-Private,2.0786178,industrial unions with some admixtures of craft unions,Banks,relationship-market,2.462751362,3,top-down,2,performance,family- state,family- state,63,0.706742039,regulatory and developmental ,top-down,-1.077182591,1.398166915,0.956600994,68,93,47,64,49,61,33,69
POL,4,12.6554337,16.24479021,99.8,long,OJT-Private,2.119037533,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.997999702,3,top-down,2,performance,family- state,family- state,66,0.830102757,regulatory and developmental ,top-down,-1.159242779,1.332988411,1.020843104,68,93,47,64,49,57,30,68
QAT,1,8.237690337,12.90201083,88.96,short,OJT-Private,,no unions,Banks,market-based,3.061914834,,top-down,1,relationship-performance,family- state,family- state,43.33333,-0.651513696,welfare,top-down,-0.069598222,-0.574380663,0.146395289,93,80,18,55,14,56,44,68
QAT,2,9.137405002,12.48006,91.08158,short,OJT-Private,,no unions,Banks,market-based,4.587123019,,top-down,1,relationship-performance,family- state,family- state,43.33333,-0.639187326,welfare,top-down,0.116768247,-0.363517086,0.360063454,93,80,18,55,14,67,38,67
QAT,3,9.660733842,11.96226167,92.14237,short,OJT-Private,,no unions,Banks,market-based,0.346279888,,top-down,1,relationship-performance,family- state,family- state,40.99999833,-0.530290544,welfare,top-down,0.21061567,-0.271379881,0.430667072,93,80,18,55,14,67,47,69
QAT,4,9.799593333,12.18155667,92.14237,short,OJT-Private,,no unions,Banks,market-based,-1.009774944,,top-down,1,relationship-performance,family- state,family- state,28,-0.497200772,welfare,top-down,0.18496103,-0.278017864,0.315205017,93,80,18,55,14,62,47,68
SAU,1,7.116321242,12.2723205,79.35094,short,OJT-Private,,no unions,Banks,market-based,0.329377302,2,top-down,1,relationship-performance,family- state,family- state,56.66667,0.400583744,welfare,top-down,-0.360878777,1.072168505,0.550642633,72,64,48,43,27,38,49,63
SAU,2,8.462275225,13.69466292,87.1142125,short,OJT-Private,,no unions,Banks,market-based,5.788567704,2,top-down,1,relationship-performance,family- state,family- state,61.66667,0.360722867,welfare,top-down,-0.485331208,1.018214395,0.449408382,72,64,48,43,27,39,57,49
SAU,3,9.700968237,16.51434542,94.877485,short,OJT-Private,,no unions,Banks,market-based,1.066102418,2,top-down,1,relationship-performance,family- state,family- state,63.66666833,0.428637708,welfare,top-down,-0.334552687,0.950930496,0.663831959,72,64,48,43,27,48,45,66
SAU,4,10.58344667,16.12383333,87.1142125,short,OJT-Private,,no unions,Banks,market-based,0.939735113,2,top-down,1,relationship-performance,family- state,family- state,80.66666667,0.539612182,welfare,top-down,-0.092642173,0.984277248,0.643164471,72,64,48,43,27,52,45,74
ZAF,1,8.549151254,12.922885,92.65536,medium,all,2.6054091,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.680440227,3,top-down,2,performance,family,family,63.33333,0.870483446,regulatory and developmental ,top-down,0.705016959,0.825672114,0.720545554,49,49,23,63,18,39,40,61
ZAF,2,9.614575979,12.831145,92.98973,medium,all,2.4649138,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.568335024,3,top-down,2,performance,family,family,71.666665,0.980654439,regulatory and developmental ,top-down,0.709684143,1.100230197,0.876960744,49,49,23,63,18,46,33,52
ZAF,3,10.02652736,13.42086333,92.32099,medium,all,2.3712006,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.050142198,3,top-down,2,performance,family,family,79,1.051881621,regulatory and developmental ,top-down,0.702477912,1.033934365,1.085437984,49,49,23,63,18,44,42,61
ZAF,4,10.62709756,13.68636,92.65536,medium,all,2.480507833,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.113464775,3,top-down,2,performance,family,family,86,1.140009493,regulatory and developmental ,top-down,0.844492048,1.354961604,1.080429256,49,49,23,63,18,44,46,69
TWN,1,11.0325,10.864,98.405,medium,OJT-Private,2.428061633,company unions,Banks,relationship,0.742915,1,top-down,1,relationship-seniority,family,family,53.33333,-0.461661023,Developmental ,top-down,0.062664446,-0.144737081,-0.17251448,58,69,40,45,87,57,39,72
TWN,2,11.355,11.961,98.04,medium,OJT-Private,2.0908287,company unions,Banks,relationship,1.00178,1,top-down,1,relationship-seniority,family,family,55,-0.528484002,Developmental ,top-down,-0.060946389,0.108118664,-0.109054283,58,69,40,45,87,58,34,68
TWN,3,10.71,12.356,98.33166667,medium,OJT-Private,2.6414816,company unions,Banks,relationship,0.780745,3,top-down,1,relationship-seniority,family,family,68.00000167,-0.458369757,Developmental ,top-down,0.096906424,0.121509049,0.070572163,58,69,40,45,87,62,44,72
TWN,4,12,11.727,98.84333333,medium,OJT-Private,2.5518746,company unions,Banks,relationship,1.09181,1,top-down,1,relationship-seniority,family,family,76,-0.602423787,Developmental ,top-down,-0.077945938,0.057158224,0.084628778,58,69,40,45,87,66,40,77
THA,1,6.592247611,12.02951238,93.076505,short,private,2.4204282,company and industrial unions,Banks,relationship,3.42141978,3,top-down,1,relationship,family,family,53.33333,1.199066639,Developmental ,top-down,1.109027898,1.063381195,1.368503523,64,64,19,34,67,34,44,67
THA,2,7.349235913,13.313732,96.43091,short,private,2.2642622,company and industrial unions,Banks,relationship,2.918212387,1,top-down,1,relationship,family,family,53.33333,1.22934107,Developmental ,top-down,1.063631197,1.145734986,1.467895885,64,64,19,34,67,34,49,60
THA,3,7.6211997,13.80095929,93.28519,short,private,2.4072771,company and industrial unions,Banks,relationship,2.190139094,1,top-down,1,relationship,family,family,67.555555,1.117362529,Developmental ,top-down,1.031453272,0.944145381,1.3794776,64,64,19,34,67,37,41,65
THA,4,8.136571382,15.29718283,93.76776,short,private,2.5897453,company and industrial unions,Banks,relationship,1.538540215,3,top-down,1,relationship,family,family,75.33333333,0.858159214,Developmental ,top-down,0.976339087,0.676988706,1.005448073,64,64,19,34,67,36,42,76
TUR,1,5.814989151,11.86567643,88.22906,medium,OJT-Private,2.34911755,industrial unions with some admixtures of craft unions,Banks,relationship-market,0.945525956,2,top-down,2,performance,family,family,80,0.839648795,Developmental ,top-down,1.084840595,0.683164048,0.875302267,66,85,46,45,35,33,26,49
TUR,2,6.361118,13.23468,93.383345,medium,OJT-Private,2.337749033,industrial unions with some admixtures of craft unions,Banks,relationship-market,2.309729279,1,top-down,2,performance,family,family,80,0.644198249,Developmental ,top-down,0.87041537,0.494385064,0.7112541,66,85,46,45,35,43,19,39
TUR,3,7.647231667,15.83237707,95.58922,medium,OJT-Private,2.360486067,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.586589999,1,top-down,2,performance,family,family,80,0.227865776,Developmental ,top-down,0.671081702,0.237714775,0.351244929,66,85,46,45,35,45,29,54
TUR,4,8.271213333,17.11393118,96.2267,medium,OJT-Private,2.3832231,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.398145455,1,top-down,2,performance,family,family,80,0.273583439,Developmental ,top-down,0.91826953,0.392951764,0.486276538,66,85,46,45,35,39,30,54
ARE,1,8.747760544,11.139486,90.03385,short,all,,no unions,Banks,market-based,2.828670478,2,top-down,1,relationship-performance,family- state,family- state,40,,welfare,top-down,-0.765049827,0.860334635,1.019433451,74,66,36,52,22,58,40,72
ARE,2,9.730509289,12.0555324,91.630495,short,all,,no unions,Banks,market-based,3.038439573,2,top-down,1,relationship-performance,family- state,family- state,40,,welfare,top-down,-0.909707199,0.90270564,1.18850555,74,66,36,52,22,62,36,69
ARE,3,10.78497306,13.18983093,93.22714,short,all,,no unions,Banks,market-based,2.527122211,1,top-down,1,relationship-performance,family- state,family- state,58.555555,,welfare,top-down,-1.077182591,0.994129916,1.104531159,74,66,36,52,22,69,41,73
ARE,4,12.30748,14.79606667,94.1,short,all,,no unions,Banks,market-based,4.371979881,3,top-down,1,relationship-performance,family- state,family- state,78.66666667,,welfare,top-down,-1.159242779,0.99888432,1.299191952,74,66,36,52,22,70,42,73
