,Country,Year,Mean.Years.of.Schooling..years.,Expected.years.of.schooling..years.,Literacy.rate..adult....ages.15.and.older.,Mean.Employment.Tenure,Main.Method.of.Skill.acquisition,Confidence.in.labor.unions,Union.Type,Main.source.of.Funding,Fund.Allocation.Criteria,IFDI....of.GDP.,Interfirm.Relations,Internal.Decision.Making.Structure,Extent.of.Delegation,Main.Criteria.for.pay.raise...promotion,Main.ownership.of.large.firms,main.controlling.owner,Investor.Protection,rule.of.law,Type,state.decision.making,Voice.andAccountability,Governmenteffectiveness,RegulatoryQuality,PowerDistance,UncertaintyAvoidance,Individualism,Motivation.towards.achievement.and.success,LongtermOrientation,Corruptionperceptionindex,InterpersonalTrust,Socialnetworks,Institutions,Institutionalenv,regulatoryenv,bussenvironment,humancapitalandresearch,education,tertiaryedu,researchanddevelopment,Infrastructure,ICTs,generalinfrastructure,ecologicalsustainability,MarketSophistication,Credit,Investment,Tradediversificationandmarketscale,businesssophistication,knowledgeworkers,innovationlinkages,knowledgeabsorption,knowledgeandtechnologyoutputs,knowledgecreation,knowledgeimpact,knowledgediffusion,creativeoutputs,intangibleassets,creativegoodsandservices,onlinecreativity
23,CZE,3,12.62912803,16.66059167,99.8,long,private,2.0143259,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.904491111,1,top-down,2,performance,family- state,family- state,58.55,0.496093854,Regulatory,top-down,0.546120212,0.525846243,0.698248357,57,74,70,57,51,53,34,51,76.464,79.664,75.12,74.602,46.608,54.416,46.622,38.788,52.354,50.566,44.258,62.23,50.226,44.506,27.312,78.856,45.542,56.89,34.834,44.906,44.004,44.316,49.566,37.71,47.742,50.038,44.35,46.54
24,CZE,4,12.77756967,16.59007333,99.8,long,private,2.4744859,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.852323347,1,top-down,2,performance,family- state,family- state,62,0.479747832,Regulatory,top-down,0.387899749,0.53033644,0.488377713,57,74,70,57,51,56,25,60,73.20861964,74.62121877,76.04315057,69.0098229,43.23287997,57.36945438,44.63701033,27.74384189,56.41732214,70.00428952,45.847957,53.38471989,43.88057635,36.69639683,24.1336,70.81001697,45.84751238,48.89665883,40.78021933,47.84899232,44.62340666,37.34474961,50.51766397,45.98947305,39.14566099,36.83355918,43.97448029,38.92271199
27,EGY,3,7.034,12.83614792,73.36485667,short,OJT,1.907915,suppressed industrial unions,Banks,relationship-state-guidance,1.914864154,2,top-down,1,relationship,family- state,family- state,43.00000167,-0.045028046,Developmental ,top-down,0.410413305,0.010963754,-0.052508293,80,55,13,55,22,34,40,61,40.978,27.428,36.89,58.62,27.642,50.016,18.892,14.014,36.752,47.164,23.588,39.504,35.6,20.924,23.102,62.77,25.768,32.376,25.524,19.412,20.126,9.342,27.298,22.972,24.68,35.17,15.47,12.908
28,EGY,4,8.12,13.41718,72.26211222,short,OJT,1.6058496,suppressed industrial unions,Banks,relationship-state-guidance,2.209943827,2,top-down,1,relationship,family- state,family- state,61.33333333,-0.029479801,Developmental ,top-down,0.134077502,0.281768367,0.184657272,80,55,13,55,22,33,41,69,45.10088546,40.51374254,37.92295713,56.8509567,21.35672762,40.51243202,12.24249637,11.26858782,34.51311388,51.64272922,21.40834325,30.50826918,35.64251493,24.09403002,20.02314774,62.80870035,19.8684068,16.16414451,21.27184221,22.202567,20.0667088,11.99479076,34.2860514,13.90261756,17.90501872,27.64464923,10.09348445,6.303958635
31,GRC,3,10.45682528,17.07463833,96.11633333,long,private,1.8524923,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.138602623,NA,top-down,2,performance-seniority ,family- state,family- state,54.22222167,-0.378350352,Regulatory,top-down,0.139457505,-0.094341877,-0.052508293,60,100,59,57,51,43,30,66,66.958,57.872,70.934,72.072,49.112,63.178,56.896,27.26,44.64,59.164,24.704,50.054,49.422,48.952,26.278,73.044,29.47,39.47,25.086,23.85,25.092,17.24,35.104,22.196,35.498,33.65,37.682,37.018
32,GRC,4,10.83054966,18.41488,97.93595,long,private,1.8762664,industrial unions with some admixtures of craft unions,Banks,relationship-market,2.418053928,NA,top-down,2,performance-seniority ,family- state,family- state,66,-0.28790924,Regulatory,top-down,0.13038709,0.310121685,0.184657272,60,100,59,57,51,49,20,65,62.65573639,59.8006009,68.62692668,74.375,49.55736705,61.97720504,58.50609497,28.17213448,50.18757582,75.86471497,27.10975214,47.55326034,43.21478736,40.92938224,21.49589069,67.23242249,29.01264178,39.88204493,21.18460556,25.97127485,27.06650587,22.367668,38.21139558,20.58545403,27.79006567,33.60064636,23.00488207,20.87242123
35,HUN,3,11.86709212,15.34008833,97.75,long,private,1.9811002,industrial unions with some admixtures of craft unions,Banks and financial markets,relationship-market,9.418079562,2,top-down,2,performance-seniority ,family- state,family- state,47.666665,0.105940951,Regulatory,top-down,-0.63654685,-0.145025762,-0.09528851,46,82,71,88,45,51,34,58,72.242,69.908,77.21,69.608,39.328,52.68,34.424,30.884,48.06,56.396,38.29,54.722,42.794,30.3,23.652,74.432,38.646,41.958,28.294,45.684,39.666,21.938,48.548,46.232,40.694,40.284,41.524,40.674
36,HUN,4,12.01756827,15.13612,99.1,long,private,1.9535937,industrial unions with some admixtures of craft unions,Banks and financial markets,relationship-market,27.01021097,2,top-down,2,performance-seniority ,family- state,family- state,53.33333333,0.255331859,Regulatory,top-down,-0.681086808,-0.043276236,0.173690965,46,82,71,88,45,44,36,66,67.56379069,67.36061962,74.2754422,61.05864358,41.25918419,53.32588687,34.71727906,35.73271998,52.42773487,70.83179285,36.87696585,49.53777925,41.03682541,37.58502347,18.73842964,66.73702311,41.03844004,43.95465186,27.48475488,51.69091339,40.64980817,21.8398587,47.62524634,52.46931949,31.9266417,32.7100002,34.24907776,27.93582195
39,IDN,3,7.827924741,12.98471167,95.23704,long,private,2.40745,company unions,Banks,relationship,2.08093122,1,top-down,1,relationship,family,family,61.33333333,0.647432715,Developmental and predatory,top-down,0.912232668,0.653374165,0.94266659,78,48,5,46,29,35,41,73,39.586,45.19,18.55,55.022,23.49,33.866,26.226,10.372,35.65,31.882,40.506,34.558,44.016,23.76,30.058,78.236,24.468,9.956,35.11333333,31.46666667,22.47,3.082,39.94,22.28,32.82,47.892,22.798,12.692
40,IDN,4,8.247610883,13.61265,95.65856,long,private,2.5464997,company unions,Banks,relationship,1.854112832,1,top-down,1,relationship,family,family,70,0.442308069,Developmental and predatory,top-down,0.616742134,0.337926313,0.853331223,78,48,5,46,29,37,28,77,51.68230397,54.58166566,24.31810443,76.14380846,22.36481819,33.89256029,20.27140694,12.91382068,40.95855248,58.94636241,36.45033022,27.46229816,46.63174857,29.73736618,26.1211994,84.03668015,22.44142051,9.292265907,28.00125698,30.01407199,19.05391367,6.558307126,33.49749629,17.16927092,21.44281155,31.9717116,14.31144168,7.448048002
43,IND,3,6.063087787,11.87020333,71.837775,all,OJT-Private,2.8253336,industrial unions with some admixtures of craft unions,Banks,relationship-state-guidance,1.676944293,4,top-down,1,relationship-seniority,family- state,family- state,68,-0.536285485,Developmental and predatory,top-down,-0.021758896,0.03743365,0.253233302,77,40,24,56,51,38,26,57,50.978,40.498,62,50.44,25.758,26.268,19.454,31.552,35.058,35.69,40.812,28.668,49.888,31.626,45.024,73.018,29.892,27.756,36.378,25.546,31.606,15.852,36.936,40.298,28.312,39.996,22.872,10.374
44,IND,4,6.550710929,12.07486,74.37299,all,OJT-Private,2.640033733,industrial unions with some admixtures of craft unions,Banks,relationship-state-guidance,1.726725481,4,top-down,1,relationship-seniority,family- state,family- state,80,-0.744583294,Developmental and predatory,top-down,-0.053817724,-0.299947642,-0.0999997,77,40,24,56,51,40,31,62,59.75125547,53.35860467,63.48604824,62.41244682,34.30121333,34.1078036,34.21098143,34.61818828,38.89260985,61.07631917,36.45996271,22.2225,53.70167253,36.58841279,42.5387094,81.9778954,30.02303395,24.75246885,28.96660009,36.35003292,34.41056468,20.19959623,38.69423628,44.33952819,24.52527499,35.66946621,18.36356928,8.380264938
47,KOR,3,12.07394638,16.66927833,99.4,medium,OJT-Private,2.377585833,company unions,Banks and financial markets,relationship-market,0.748308348,4,top-down,1,seniority,public,family,69.77777833,0.787446668,Developmental ,top-down,-1.131768813,0.841686815,0.607906237,60,85,58,39,86,55,49,38,75.56,70.748,66.838,89.092,65.352,55.7,55.298,85.054,62.518,91.1,54.594,41.866,63.61,61.968,56.716,72.146,46.482,62.282,40.326,36.828,53.572,74.972,41.802,45.508,44.774,58.39,30.046,32.266
48,KOR,4,12.30917641,16.48776667,98.385,medium,OJT-Private,2.4016063,company unions,Banks and financial markets,relationship-market,0.822152102,4,top-down,1,seniority,public,family,74,0.877368108,Developmental ,top-down,-1.204400808,0.946993575,0.809501559,60,85,58,39,86,60,40,41,75.54522759,77.46370925,69.2224553,79.93285156,66.28513646,61.42709236,49.12150719,88.32514315,60.36067552,94.19792809,54.4289069,32.48519158,57.87083807,63.5351967,34.03302428,76.05929323,57.840457,73.67582261,47.44509091,52.4154575,52.49963352,66.78604688,41.44860923,49.24757778,50.28976838,72.23193975,32.74253995,24.00098742
51,KWT,3,7.095953845,13.72556685,95.7050975,short,OJT,NA,no unions,Banks,market-based,0.563540874,NA,top-down,1,relationship-performance,family- state,family- state,55.555555,0.148265595,welfare,top-down,-1.784993927,0.184361733,0.00573598,90,80,28,40,31,43,60,72,58.628,55.356,54.398,66.134,28.01,47.484,33.516,3.04,43.502,50.34,47.738,32.428,45.974,33.498,34.89,69.53,20.386,21.604,23.492,16.058,32.588,5.53,29.338,59.14,31.306,42.278,16.64,24.014
52,KWT,4,7.283778664,14.59721333,96.05647,short,OJT,NA,no unions,Banks,market-based,0.013429447,NA,top-down,1,relationship-performance,family- state,family- state,63.33333333,0.214108315,welfare,top-down,-1.590407342,0.356085511,0.225804806,90,80,28,40,31,42,44,70,53.21920365,49.60265367,55.26785269,54.80377128,28.3575,49.7,32.34,3.0075,49.46971182,75.22912791,46.26988796,26.8751196,42.2532991,41.44643132,29.84932941,55.43080325,21.11037226,19.1749692,20.98825413,23.21622678,22.79740016,5.802501198,28.44275624,34.16360971,22.95740964,38.35180255,5.603432879,9.489267238
55,MEX,3,8.522308799,13.77601667,94.508635,short,OJT-Private,1.8774683,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,2.773225016,1,top-down,1,relationship,family- state,family- state,86.22222333,1.108159284,Regulatory,top-down,0.941662639,1.297281682,1.29639405,81,82,34,69,23,32,33,64,60.834,47.706,58.394,76.408,26.484,42.1,36.226,21.32,41.474,52.872,32.898,38.654,47.032,31.792,29.63,79.678,31.266,36.62,22.684,34.496,24.91,8.352,31.768,33.076,34.54,41.672,33.974,20.844
56,MEX,4,8.855393333,14.78243,95.37991,short,OJT-Private,1.7609851,suppressed industrial unions,Banks and financial markets,relationship-state-guidance,2.66469086,1,top-down,1,relationship,family- state,family- state,88,1.20956701,Regulatory,top-down,1.060618148,1.442714811,1.411350727,81,82,34,69,23,30,30,75,55.0625786,46.74763383,55.47841858,62.99501674,33.29833333,42.79224697,29.68997894,26.40853513,44.27845947,72.31109153,27.96942273,32.53653081,44.76088156,33.41566687,21.29999308,79.56865141,27.29558845,28.32637805,19.4311217,34.19426559,24.36822867,10.60972168,31.22256672,31.23906428,28.2515249,36.28519102,32.28619838,8.264519195
59,MYS,3,10.14626795,13.38803,94.408675,short,private,2.9050925,company unions,Banks,relationship-state-guidance,3.35711209,3,top-down,1,relationship,family- state,family- state,59.333335,-0.004035144,Developmental and predatory,top-down,0.634338081,0.139328069,0.172971418,100,36,27,50,47,50,23,66,69.366,66.982,63.098,78.02,41.264,45.152,48.266,30.368,47.426,57.82,43.208,41.25,59.124,43.452,55.214,78.712,42.764,44.92,35.378,47.998,35.102,9.594,44.988,47.926,40.58,50.422,39.316,22.164
60,MYS,4,10.37760931,13.55242667,94.85441,short,private,2.640244,company unions,Banks,relationship-state-guidance,3.011563915,3,top-down,1,relationship,family- state,family- state,62,-0.083938032,Developmental and predatory,top-down,0.702178791,-0.005802275,-0.061708544,100,36,27,50,47,49,34,73,70.54984089,73.49828778,65.83756932,72.31199889,43.55834712,46.22921164,50.86745036,33.59504603,48.40637566,78.24361344,36.0897127,30.85246751,54.51295983,53.42624303,39.15763592,70.93666721,37.43422985,34.66558226,31.60860735,45.97849995,32.32153829,11.68594162,40.25555012,44.97312313,32.3912084,40.76334962,36.62696179,11.46283925
63,PER,3,9.144959032,14.54701753,94.00706,short,OJT-Private,1.7923129,suppressed industrial unions,Banks,relationship-state-guidance,4.194540339,NA,top-down,1,relationship,family- state,family- state,65.88888833,-0.094332777,Regulatory,top-down,-0.893385108,0.232830127,0.086301599,64,87,20,42,5,37,30,67,60.416,45.11,68.862,67.282,25.804,34.134,34.424,8.864,40.906,44.144,32.076,46.498,54.586,51.906,34.116,77.736,32.518,44.544,22.228,30.782,18.182,4.92,31.486,16.55,32.902,44.972,21.128,20.538
64,PER,4,9.76422,14.98653667,94.40827,short,OJT-Private,1.724932,suppressed industrial unions,Banks,relationship-state-guidance,2.580533936,NA,top-down,1,relationship,family- state,family- state,68,0.090122188,Regulatory,top-down,-0.767484501,0.203033876,0.072567537,64,87,20,42,5,36,27,74,58.23976157,48.52024731,68.48012094,57.75224979,31.41398035,40.29561272,43.71500753,6.902987465,41.71793591,63.81127634,23.93916815,37.37336324,49.16014502,55.42129127,30.5,70.09439362,34.09167897,53.77713104,17.42568483,31.05722103,14.25454869,7.89214848,25.73362063,9.204543623,20.89430839,31.2119706,12.13754237,9.017416663
67,PHL,3,9.237825687,12.62825847,97.290275,short,OJT-Private,2.4924085,company unions,Banks,relationship,2.005751257,2,top-down,1,relationship,family,family,41.666665,-0.227254427,predatory,top-down,-0.519411897,0.155297778,0.237096021,94,44,17,64,46,35,25,81,50.322,43.548,50.178,57.242,18.592,23.452,22.968,9.354,36.266,39.554,26.994,42.252,41.648,20.11,29.89,74.944,30.296,38.71,23.582,28.598,28.544,9.724,37.04,36.89,25.738,40.346,6.684,15.572
68,PHL,4,9.262060932,12.99027111,94.9451675,short,OJT-Private,2.7687836,company unions,Banks,relationship,2.4743555,2,top-down,1,relationship,family,family,48,-0.41468747,predatory,top-down,-0.870278239,-0.124141912,-0.09762889,94,44,17,64,46,34,24,81,52.6998064,49.75481997,51.07468565,57.2382469,25.20372681,32.74897059,36.11373541,6.79847444,40.89462243,59.82740756,27.65421384,34.47284788,38.97517786,21.37886402,23.18814219,73.10944962,37.54151928,41.61375126,20.42577657,51.61683109,32.2592359,13.76613083,34.83049132,48.2144189,24.0036769,33.29676229,21.8351739,7.572675762
71,POL,3,12.11809392,16.09498,99.8,long,OJT-Private,2.0786178,industrial unions with some admixtures of craft unions,Banks,relationship-market,2.462751362,3,top-down,2,performance,family- state,family- state,63,0.706742039,regulatory and developmental ,top-down,-1.077182591,1.398166915,0.956600994,68,93,47,64,49,61,33,69,75.06,75.758,74.038,75.384,37.762,56.684,32.768,23.834,45.258,54.758,36.338,44.676,48.496,34.416,32.61,79.1875,35.5375,49,24.9425,32.67,28.724,23.858,36.06,25.508,36.788,38.32,34.228,36.282
72,POL,4,12.6554337,16.24479021,99.8,long,OJT-Private,2.119037533,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.997999702,3,top-down,2,performance,family- state,family- state,66,0.830102757,regulatory and developmental ,top-down,-1.159242779,1.332988411,1.020843104,68,93,47,64,49,57,30,68,66.2140481,65.51978354,71.42491031,79.8375,40.4875,57.42905298,33.96841391,29.63791557,50.76685408,80.13189399,35.35812059,36.76221434,43.17557945,31.80758222,29.915,76.19301619,36.39068676,47.55974593,22.05446567,39.54451535,31.29383553,25.74246881,36.87524972,31.21545473,32.66448706,38.23151377,29.1575362,25.12071783
75,QAT,3,9.660733842,11.96226167,92.14237,short,OJT-Private,NA,no unions,Banks,market-based,0.346279888,NA,top-down,1,relationship-performance,family- state,family- state,40.99999833,-0.530290544,welfare,top-down,0.21061567,-0.271379881,0.430667072,93,80,18,55,14,67,47,69,74.968,77.61,68.438,78.862,33.328,36.302,56.028,7.656,54.634,66.568,63.256,31.73,46.56333333,27.09,30.12333333,76.606,33.71,25.91,53.308,21.914,21.58,3.928,33.164,26.206,38.318,58.166,13.324,23.602
76,QAT,4,9.799593333,12.18155667,92.14237,short,OJT-Private,NA,no unions,Banks,market-based,-1.009774944,NA,top-down,1,relationship-performance,family- state,family- state,28,-0.497200772,welfare,top-down,0.18496103,-0.278017864,0.315205017,93,80,18,55,14,62,47,68,68.47514617,69.25726127,68.02997936,68.15486456,31.3531903,39.34143704,47.15860148,7.592865712,55.39754093,72.32021822,68.41940788,25.41966336,42.16140526,43.59765873,20.47738533,62.42417172,25.47452937,14.86754165,28.62350188,33.0008779,18.72197795,7.158922591,31.52683068,17.51351392,24.7973527,37.87729077,15.13665228,8.26317698
79,SAU,3,9.700968237,16.51434542,94.877485,short,OJT-Private,NA,no unions,Banks,market-based,1.066102418,2,top-down,1,relationship-performance,family- state,family- state,63.66666833,0.428637708,welfare,top-down,-0.334552687,0.950930496,0.663831959,72,64,48,43,27,48,45,66,57.838,47.594,62.536,63.386,41.296,52.328,45.408,26.15,48.504,64.524,47.666,33.318,52.364,36.594,41.232,80.135,35.465,39.6475,42.9325,23.82,23.932,9.238,39.384,21.706,39.828,57.624,22.056,22.004
80,SAU,4,10.58344667,16.12383333,87.1142125,short,OJT-Private,NA,no unions,Banks,market-based,0.939735113,2,top-down,1,relationship-performance,family- state,family- state,80.66666667,0.539612182,welfare,top-down,-0.092642173,0.984277248,0.643164471,72,64,48,43,27,52,45,74,54.92892619,52.31325607,59.72773891,52.76245025,44.82381708,60.06709363,35.81056872,38.64045555,47.23796661,75.77311737,42.34882094,23.57696153,50.22220495,38.40270274,40.47497882,71.84059996,30.67286959,30.8975,32.79969512,27.76771073,19.06564598,15.84324092,24.62841554,16.76028149,21.65820047,33.64099481,11.09491205,8.2359002
83,THA,3,7.6211997,13.80095929,93.28519,short,private,2.4072771,company and industrial unions,Banks,relationship,2.190139094,1,top-down,1,relationship,family,family,67.555555,1.117362529,Developmental ,top-down,1.031453272,0.944145381,1.3794776,64,64,19,34,67,37,41,65,54.518,45.114,45.678,72.762,34.166,44.19,38.51,19.802,40.048,42.736,38.982,38.432,53.242,36.558,47.608,75.568,34.516,44.018,24.334,35.194,30.148,16.154,41.364,31.304,34.524,40.986,36.958,19.16
84,THA,4,8.136571382,15.29718283,93.76776,short,private,2.5897453,company and industrial unions,Banks,relationship,1.538540215,3,top-down,1,relationship,family,family,75.33333333,0.858159214,Developmental ,top-down,0.976339087,0.676988706,1.005448073,64,64,19,34,67,36,42,76,58.87751754,57.38421756,47.76911249,71.49755589,32.205,39.5625,35.52,21.555,44.01777834,67.99523558,35.21668607,28.85808003,53.84196883,52.97737004,35.20320442,73.33033205,34.04612594,35.03620832,21.63157686,45.47225932,30.28363098,20.23297674,37.0311976,33.57005195,29.19338407,36.99857294,33.32079682,9.442260238
87,TUR,3,7.647231667,15.83237707,95.58922,medium,OJT-Private,2.360486067,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.586589999,1,top-down,2,performance,family,family,80,0.227865776,Developmental ,top-down,0.671081702,0.237714775,0.351244929,66,85,46,45,35,45,29,54,54.37,44.514,54.156,64.434,35.258,45.154,35.95,24.672,39.406,43.89,34.502,39.834,48.312,25.244,37.464,82.228,26.854,34.87,22.246,23.452,29.31,26.922,38.952,21.284,40.99,56.922,26.652,23.464
88,TUR,4,8.271213333,17.11393118,96.2267,medium,OJT-Private,2.3832231,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.398145455,1,top-down,2,performance,family,family,80,0.273583439,Developmental ,top-down,0.91826953,0.392951764,0.486276538,66,85,46,45,35,39,30,54,53.322,51.168,51.152,57.706,39.2244831,55.00149748,34.36679756,28.30682091,48.24130647,74.11262029,38.73928228,31.92201684,48.38276044,37.08450308,26.38521208,81.62856617,30.53435801,36.22084228,19.25803437,36.15586404,25.96055066,24.56997508,36.94415577,16.41752114,36.82114765,57.39469955,17.06389545,15.41796274
91,ZAF,3,10.02652736,13.42086333,92.32099,medium,all,2.3712006,industrial unions with some admixtures of craft unions,Banks,relationship-market,1.050142198,3,top-down,2,performance,family,family,79,1.051881621,regulatory and developmental ,top-down,0.702477912,1.033934365,1.085437984,49,49,23,63,18,44,42,61,69.406,58.764,74.796,74.66,29.134,42.734,14.47,24.458,35.204,37.652,37.942,30.02,60.992,44.2,63.714,76.1975,32.95,37.92,30.836,30.096,25.664,16.468,37.218,22.572,31.208,42.578,23.088,16.592
92,ZAF,4,10.62709756,13.68636,92.65536,medium,all,2.480507833,industrial unions with some admixtures of craft unions,Banks,relationship-market,3.113464775,3,top-down,2,performance,family,family,86,1.140009493,regulatory and developmental ,top-down,0.844492048,1.354961604,1.080429256,49,49,23,63,18,44,46,69,60.02304761,54.80430412,71.69449445,53.55534428,25.79734647,47.11892864,19.22193965,20.88447161,39.10311695,64.85369052,31.58646863,20.90252503,52.32090303,40.85239223,50.14276394,65.98588625,30.55302626,29.7279827,28.06512468,33.87930474,23.65980827,19.65399216,33.69104773,17.60438493,21.76256526,34.80403958,7.688015332,9.755833211
